SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,20,30,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.775874
3,0,0,10,protocol,7.5,40,70,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0.702505
4,0,0,10,protocol,7.5,60,100,1.66667,0,0,0,0,0,0,0,0,0,0,0,0,0.558161
5,0,0,10,protocol,7.5,70,120,1.71429,0,0,0,0,0,0,0,0,0,0,0,0,0.559861
6,0,0,10,protocol,7.5,90,124,1.37778,0,0,0,0,0,0,0,0,0,0,0,0,0.482075
7,0,0,10,protocol,7.5,100,128,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.488707
8,0,0,10,protocol,7.5,110,143,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.441266
9,0,0,10,protocol,7.5,130,180,1.38462,0,0,0,0,0,0,0,0,0,0,0,0,0.446948
10,0,0,10,protocol,7.5,150,222,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0.411187
11,0,0,10,protocol,7.5,170,262,1.54118,0,0,0,0,0,0,0,0,0,0,0,0,0.42298
12,0,0,10,protocol,7.5,190,308,1.62105,0,0,0,0.95,0.95,0.316667,0.158333,0.105556,0.105556,0.105556,0.105556,0.105556,0.396214
13,0,0,10,protocol,7.5,200,311,1.555,0,0,0,0.95,0.95,0.316667,0.161017,0.095,0.0904762,0.0904762,0.0904762,0.0904762,0.398409
14,0,0,10,protocol,7.5,220,352,1.6,0,0,0,1,0.975,0.39,0.278571,0.152344,0.124204,0.124204,0.124204,0.124204,0.377234
15,0,0,10,protocol,7.5,240,345,1.4375,0,0,0,0,0.875,0.291667,0.21875,0.141129,0.0897436,0.0897436,0.0897436,0.0897436,0.378873
16,0,0,10,protocol,7.5,260,348,1.33846,0,0,0,0,0.45,0.169811,0.09,0.0532544,0.034749,0.034749,0.034749,0.034749,0.368601
17,0,0,10,protocol,7.5,260,344,1.32308,0,0,0,0,0.45,0.15,0.09,0.0532544,0.0352941,0.0352941,0.0352941,0.0352941,0.370422
18,0,0,10,protocol,7.5,280,364,1.3,0,0,0,0,0.475,0.161017,0.095,0.0558824,0.0365385,0.0365385,0.0365385,0.0365385,0.356609
